Web,Datafile,API
American Amber Ale,,American-Style Amber/Red Ale
American Amber Lager,,American Rye Ale or Lager
American Barley Wine,,American-Style Barley Wine Ale
American Black Ale,,American-Style India Black Ale
American Brett,,
American Brown Ale,,American-Style Brown Ale
American Cream Ale,,American-Style Cream Ale or Lager
American Imperial Porter,,Porter
American Imperial Red Ale,,Imperial or Double Red Ale
American Imperial Stout,,American-Style Imperial Stout
American IPA,,American-Style India Pale Ale
American Lager,,American-Style Lager
American Pale Ale,,American-Style Pale Ale
American Sour,,American-Style Dark Lager
American Stout,,American-Style Stout
American Wheat,,Light American Wheat Ale or Lager
American-Style Wheat Wine Ale,,
Baltic-Style Porter,,Baltic-Style Porter
Barrel-Aged Beer,,
Belgian-Style Blonde Ale,,Other Belgian-Style Ales
Belgian-Style Dubbel,,Belgian-Style Dubbel
Belgian-Style Flanders,,Belgian-Style Dark Strong Ale
Belgian-Style Fruit Lambic,,Belgian-Style Fruit Lambic
Belgian-Style Golden Strong Ale,,Belgian-Style Pale Strong Ale
Belgian-Style Lambic/Gueuze,,Other Belgian-Style Ales
Belgian-Style Pale Ale,,Belgian-Style Pale Ale
Belgian-Style Quadrupel,,Belgian-Style Quadrupel
Belgian-Style Saison,,Other Belgian-Style Ales
Belgian-Style Tripel,,Belgian-Style Tripel
Belgian-Style Witbier,,Belgian-Style White
Berliner-Style Weisse,,
Blonde Ale,,Golden or Blonde Ale
Bohemian-Style Pilsener,,
British-Style Barley Wine Ale,,Strong Ale
California Common,,
Chocolate Beer,,Winter Warmer
Coffee Beer,,
Contemporary Gose,,
English-Style Bitter,,Ordinary Bitter
English-Style Brown Ale,,Extra Special Bitter
English-Style Brown Porter,,English-Style Dark Mild Ale
English-Style IPA,,English-Style India Pale Ale
English-Style Mild,,English-Style Pale Mild Ale
English-Style Oatmeal Stout,,Oatmeal Stout
English-Style Old Ale,,Old Ale
English-Style Pale Ale (ESB),,Extra Special Bitter
English-Style Sweet Stout (Milk Stout),,Sweet Stout
European-Style Export,,European Low-Alcohol Lager
French-Style Biere de Garde,,French & Belgian-Style Saison
Fruit and Field Beer,,Fruit Beer
German-Style Altbier,,German-Style Brown Ale/Altbier
German-Style Bock,,Traditional German-Style Bock
German-Style Doppelbock,,German-Style Doppelbock
German-Style Dunkel,,
German-Style Dunkelweizen,,
German-Style Hefeweizen,,South German-Style Hefeweizen
German-Style Helles,,German-Style Heller Bock/Maibock
German-Style Kolsch,,Kellerbier - Ale
German-Style Maibock,,German-Style Heller Bock/Maibock
German-Style Marzen / Oktoberfest,,German-Style Oktoberfest
German-Style Pilsner,,German-Style Pilsener
German-Style Schwarzbier,,German-Style Schwarzbier
German-Style Weizenbock,,South German-Style Weizenbock
Gluten-Free Craft Beer,,
Herb and Spice Beer,,Herb and Spice Beer
Honey Beer,,Specialty Honey Lager or Ale
Imperial India Pale Ale,,Imperial or Double India Pale Ale
Irish-Style Dry Stout,,Classic Irish-Style Dry Stout
Irish-Style Red Beer,,Irish-Style Red Ale
New England IPA,,American-Style Light Lager
Pumpkin Beer,,Pumpkin Beer
Robust Porter,,
Rye Beer,,
Scotch Ale/Wee Heavy,,Scotch Ale
Scottish-Style Ale,,Scottish-Style Light Ale
Session Beer,,American-Style Strong Pale Ale
Smoke Beer,,Smoke Beer
Smoke Porter,,Bamberg-Style Bock Rauchbier
Specialty Beer,,Specialty Beer
Vienna-Style Lager,,Vienna-Style Lager
